Year,County,Hospital,OSHPDID,Surgery,# of Cases,Location 1
2006,Placer,Sutter Auburn Faith Hospital,106310791,LAPRYGB,37,"(38.94452, -121.0982)"
2009,Orange,Chapman Medical Center,106301140,VSG,6,"(33.78785, -117.82586)"
2011,Placer,Sutter Roseville Medical Center,106311000,LAPBAND,6,"(38.76439, -121.25055)"
2012,Los Angeles,Marina Del Rey Hospital,106190500,LAPBAND,35,"(33.98125, -118.43971)"
2012,San Mateo,Sequoia Hospital,106410891,VSG,6,"(37.48129, -122.25377)"
2013,Los Angeles,Marina Del Rey Hospital,106190500,LAPBAND,39,"(33.98125, -118.43971)"
2013,Los Angeles,Olympia Medical Center,106190534,LAPBAND,1,"(34.05754, -118.36008)"
2014,Los Angeles,Huntington Memorial Hospital,106190400,VSG,122,"(34.13565, -118.1518)"
2005,Riverside,Southwest Healthcare System – Murrieta,106334068,LAPRYGB,464,"(33.55788, -117.18488)"
2008,San Diego,Alvarado Hospital,106370652,OPENRYGB,2,"(32.77708, -117.05683)"
2010,San Mateo,Sequoia Hospital,106410891,VSG,4,"(37.48129, -122.25377)"
2005,,STATEWIDE,,BPD,362,
2005,,STATEWIDE,,LAPBAND,661,
2005,,STATEWIDE,,LAPRYGB,10185,
2005,,STATEWIDE,,OPENRYGB,2285,
2005,,STATEWIDE,,VSG,157,
2006,,STATEWIDE,,BPD,235,
2006,,STATEWIDE,,LAPBAND,1161,
2006,,STATEWIDE,,LAPRYGB,10511,
2006,,STATEWIDE,,OPENRYGB,993,
2006,,STATEWIDE,,VSG,323,
2007,,STATEWIDE,,BPD,213,
2007,,STATEWIDE,,LAPBAND,2003,
2007,,STATEWIDE,,LAPRYGB,9264,
2007,,STATEWIDE,,OPENRYGB,578,
2007,,STATEWIDE,,VSG,462,
2008,,STATEWIDE,,BPD,204,
2008,,STATEWIDE,,LAPBAND,2992,
2008,,STATEWIDE,,LAPRYGB,9784,
2008,,STATEWIDE,,OPENRYGB,505,
2008,,STATEWIDE,,VSG,623,
2009,,STATEWIDE,,BPD,133,
2009,,STATEWIDE,,LAPBAND,3142,
2009,,STATEWIDE,,LAPRYGB,9929,
2009,,STATEWIDE,,OPENRYGB,365,
2009,,STATEWIDE,,VSG,1002,
2010,,STATEWIDE,,BPD,112,
2010,,STATEWIDE,,LAPBAND,2742,
2010,,STATEWIDE,,LAPRYGB,9277,
2010,,STATEWIDE,,OPENRYGB,331,
2010,,STATEWIDE,,VSG,2147,
2011,,STATEWIDE,,BPD,97,
2005,Los Angeles,Olympia Medical Center,106190534,LAPBAND,59,"(34.05754, -118.36008)"
2011,,STATEWIDE,,LAPBAND,1552,
2011,,STATEWIDE,,LAPRYGB,8280,
2011,,STATEWIDE,,OPENRYGB,333,
2011,,STATEWIDE,,VSG,5700,
2012,,STATEWIDE,,BPD,80,
2012,,STATEWIDE,,LAPBAND,476,
2012,,STATEWIDE,,LAPRYGB,6556,
2012,,STATEWIDE,,OPENRYGB,304,
2012,,STATEWIDE,,VSG,7032,
2013,,STATEWIDE,,BPD,90,
2013,,STATEWIDE,,LAPBAND,216,
2013,,STATEWIDE,,LAPRYGB,5192,
2013,,STATEWIDE,,OPENRYGB,212,
2013,,STATEWIDE,,VSG,8015,
2014,,STATEWIDE,,BPD,135,
2014,,STATEWIDE,,LAPBAND,113,
2014,,STATEWIDE,,LAPRYGB,4831,
2014,,STATEWIDE,,OPENRYGB,131,
2014,,STATEWIDE,,VSG,9070,
2015,,STATEWIDE,,BPD,183,
2015,,STATEWIDE,,LapBand,68,
2015,,STATEWIDE,,LapRYGB,3593,
2015,,STATEWIDE,,OpenRYGB,70,
2015,,STATEWIDE,,VSG,7130,
2005,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,BPD,,"(37.82106, -122.26257)"
2005,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,LAPBAND,11,"(37.82106, -122.26257)"
2005,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,LAPRYGB,113,"(37.82106, -122.26257)"
2005,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,OPENRYGB,20,"(37.82106, -122.26257)"
2005,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,VSG,,"(37.82106, -122.26257)"
2005,Alameda,Kaiser Foundation Hospital – Fremont,106014132,BPD,,"(37.55055, -121.97483)"
2005,Alameda,Kaiser Foundation Hospital – Fremont,106014132,LAPBAND,,"(37.55055, -121.97483)"
2005,Alameda,Kaiser Foundation Hospital – Fremont,106014132,LAPRYGB,165,"(37.55055, -121.97483)"
2005,Alameda,Kaiser Foundation Hospital – Fremont,106014132,OPENRYGB,50,"(37.55055, -121.97483)"
2005,Alameda,Kaiser Foundation Hospital – Fremont,106014132,VSG,,"(37.55055, -121.97483)"
2005,Alameda,Valley Memorial Hospital,106010983,BPD,,"(37.6787, -121.78252)"
2005,Alameda,Valley Memorial Hospital,106010983,LAPBAND,2,"(37.6787, -121.78252)"
2005,Alameda,Valley Memorial Hospital,106010983,LAPRYGB,88,"(37.6787, -121.78252)"
2005,Alameda,Valley Memorial Hospital,106010983,OPENRYGB,12,"(37.6787, -121.78252)"
2005,Alameda,Valley Memorial Hospital,106010983,VSG,,"(37.6787, -121.78252)"
2005,Butte,Enloe Medical Center – Esplanade,106040962,BPD,,"(39.74224, -121.84922)"
2005,Butte,Enloe Medical Center – Esplanade,106040962,LAPBAND,,"(39.74224, -121.84922)"
2005,Butte,Enloe Medical Center – Esplanade,106040962,LAPRYGB,3,"(39.74224, -121.84922)"
2005,Butte,Enloe Medical Center – Esplanade,106040962,OPENRYGB,71,"(39.74224, -121.84922)"
2005,Butte,Enloe Medical Center – Esplanade,106040962,VSG,,"(39.74224, -121.84922)"
2005,Contra Costa,John Muir Medical Center – Concord Campus,106071018,BPD,3,"(37.98615, -122.03874)"
2005,Contra Costa,John Muir Medical Center – Concord Campus,106071018,LAPBAND,,"(37.98615, -122.03874)"
2005,Contra Costa,John Muir Medical Center – Concord Campus,106071018,LAPRYGB,75,"(37.98615, -122.03874)"
2005,Contra Costa,John Muir Medical Center – Concord Campus,106071018,OPENRYGB,12,"(37.98615, -122.03874)"
2005,Contra Costa,John Muir Medical Center – Concord Campus,106071018,VSG,6,"(37.98615, -122.03874)"
2005,Contra Costa,Kaiser Foundation Hospital – Richmond Campus,106074093,BPD,,"(37.93685, -122.36093)"
2005,Contra Costa,Kaiser Foundation Hospital – Richmond Campus,106074093,LAPBAND,,"(37.93685, -122.36093)"
2005,Contra Costa,Kaiser Foundation Hospital – Richmond Campus,106074093,LAPRYGB,245,"(37.93685, -122.36093)"
2005,Contra Costa,Kaiser Foundation Hospital – Richmond Campus,106074093,OPENRYGB,29,"(37.93685, -122.36093)"
2005,Contra Costa,Kaiser Foundation Hospital – Richmond Campus,106074093,VSG,,"(37.93685, -122.36093)"
2005,Fresno,Clovis Community Medical Center,106100005,BPD,1,"(36.83745, -119.66072)"
2005,Fresno,Clovis Community Medical Center,106100005,LAPBAND,9,"(36.83745, -119.66072)"
2005,Fresno,Clovis Community Medical Center,106100005,LAPRYGB,726,"(36.83745, -119.66072)"
2005,Fresno,Clovis Community Medical Center,106100005,OPENRYGB,13,"(36.83745, -119.66072)"
2005,Fresno,Clovis Community Medical Center,106100005,VSG,,"(36.83745, -119.66072)"
2005,Fresno,Fresno Surgical Hospital,106104047,BPD,,"(36.82531, -119.78155)"
2005,Fresno,Fresno Surgical Hospital,106104047,LAPBAND,,"(36.82531, -119.78155)"
2005,Fresno,Fresno Surgical Hospital,106104047,LAPRYGB,265,"(36.82531, -119.78155)"
2005,Fresno,Fresno Surgical Hospital,106104047,OPENRYGB,7,"(36.82531, -119.78155)"
2005,Fresno,Fresno Surgical Hospital,106104047,VSG,,"(36.82531, -119.78155)"
2005,Fresno,Kaiser Foundation Hospital – Fresno,106104062,BPD,,"(36.84246, -119.7832)"
2005,Fresno,Kaiser Foundation Hospital – Fresno,106104062,LAPBAND,,"(36.84246, -119.7832)"
2005,Fresno,Kaiser Foundation Hospital – Fresno,106104062,LAPRYGB,,"(36.84246, -119.7832)"
2005,Fresno,Kaiser Foundation Hospital – Fresno,106104062,OPENRYGB,54,"(36.84246, -119.7832)"
2005,Fresno,Kaiser Foundation Hospital – Fresno,106104062,VSG,,"(36.84246, -119.7832)"
2005,Fresno,Kingsburg Medical Center,106100745,BPD,,"(36.51261, -119.54833)"
2005,Fresno,Kingsburg Medical Center,106100745,LAPBAND,,"(36.51261, -119.54833)"
2005,Fresno,Kingsburg Medical Center,106100745,LAPRYGB,,"(36.51261, -119.54833)"
2005,Fresno,Kingsburg Medical Center,106100745,OPENRYGB,1,"(36.51261, -119.54833)"
2005,Fresno,Kingsburg Medical Center,106100745,VSG,,"(36.51261, -119.54833)"
2005,Fresno,Saint Agnes Medical Center,106100899,BPD,1,"(36.8370782, -119.7649963)"
2005,Fresno,Saint Agnes Medical Center,106100899,LAPBAND,1,"(36.8370782, -119.7649963)"
2005,Fresno,Saint Agnes Medical Center,106100899,LAPRYGB,345,"(36.8370782, -119.7649963)"
2005,Fresno,Saint Agnes Medical Center,106100899,OPENRYGB,162,"(36.8370782, -119.7649963)"
2005,Fresno,Saint Agnes Medical Center,106100899,VSG,,"(36.8370782, -119.7649963)"
2005,Humboldt,Saint Joseph Hospital – Eureka,106121080,BPD,,"(40.7832, -124.14216)"
2005,Humboldt,Saint Joseph Hospital – Eureka,106121080,LAPBAND,,"(40.7832, -124.14216)"
2005,Humboldt,Saint Joseph Hospital – Eureka,106121080,LAPRYGB,9,"(40.7832, -124.14216)"
2005,Humboldt,Saint Joseph Hospital – Eureka,106121080,OPENRYGB,,"(40.7832, -124.14216)"
2005,Humboldt,Saint Joseph Hospital – Eureka,106121080,VSG,,"(40.7832, -124.14216)"
2005,Kern,Delano Regional Medical Center,106150706,BPD,137,"(35.76143, -119.23706)"
2005,Kern,Delano Regional Medical Center,106150706,LAPBAND,,"(35.76143, -119.23706)"
2005,Kern,Delano Regional Medical Center,106150706,LAPRYGB,1,"(35.76143, -119.23706)"
2005,Kern,Delano Regional Medical Center,106150706,OPENRYGB,,"(35.76143, -119.23706)"
2005,Kern,Delano Regional Medical Center,106150706,VSG,5,"(35.76143, -119.23706)"
2005,Kern,Kern Medical Center,106150736,BPD,,"(35.380833, -118.967222)"
2005,Kern,Kern Medical Center,106150736,LAPBAND,,"(35.380833, -118.967222)"
2005,Kern,Kern Medical Center,106150736,LAPRYGB,,"(35.380833, -118.967222)"
2005,Kern,Kern Medical Center,106150736,OPENRYGB,46,"(35.380833, -118.967222)"
2005,Kern,Kern Medical Center,106150736,VSG,,"(35.380833, -118.967222)"
2005,Kern,Mercy Hospital – Bakersfield,106150761,BPD,,"(35.37323, -119.02715)"
2005,Kern,Mercy Hospital – Bakersfield,106150761,LAPBAND,33,"(35.37323, -119.02715)"
2005,Kern,Mercy Hospital – Bakersfield,106150761,LAPRYGB,30,"(35.37323, -119.02715)"
2005,Kern,Mercy Hospital – Bakersfield,106150761,OPENRYGB,35,"(35.37323, -119.02715)"
2005,Kern,Mercy Hospital – Bakersfield,106150761,VSG,1,"(35.37323, -119.02715)"
2005,Kern,San Joaquin Community Hospital,106150788,BPD,,"(35.383064, -119.018775)"
2005,Kern,San Joaquin Community Hospital,106150788,LAPBAND,20,"(35.383064, -119.018775)"
2005,Kern,San Joaquin Community Hospital,106150788,LAPRYGB,42,"(35.383064, -119.018775)"
2005,Kern,San Joaquin Community Hospital,106150788,OPENRYGB,52,"(35.383064, -119.018775)"
2005,Los Angeles,Olympia Medical Center,106190534,LAPRYGB,8,"(34.05754, -118.36008)"
2005,Kern,San Joaquin Community Hospital,106150788,VSG,,"(35.383064, -119.018775)"
2005,Los Angeles,Bellflower Medical Center,106190066,BPD,,"(33.87466, -118.13052)"
2005,Los Angeles,Bellflower Medical Center,106190066,LAPBAND,1,"(33.87466, -118.13052)"
2005,Los Angeles,Bellflower Medical Center,106190066,LAPRYGB,21,"(33.87466, -118.13052)"
2005,Los Angeles,Bellflower Medical Center,106190066,OPENRYGB,20,"(33.87466, -118.13052)"
2005,Los Angeles,Bellflower Medical Center,106190066,VSG,,"(33.87466, -118.13052)"
2005,Los Angeles,Cedars Sinai Medical Center,106190555,BPD,,"(34.07681, -118.38061)"
2005,Los Angeles,Cedars Sinai Medical Center,106190555,LAPBAND,50,"(34.07681, -118.38061)"
2005,Los Angeles,Cedars Sinai Medical Center,106190555,LAPRYGB,426,"(34.07681, -118.38061)"
2005,Los Angeles,Cedars Sinai Medical Center,106190555,OPENRYGB,85,"(34.07681, -118.38061)"
2005,Los Angeles,Cedars Sinai Medical Center,106190555,VSG,,"(34.07681, -118.38061)"
2005,Los Angeles,Centinela Freeman Regional Medical Center – Memorial Campus,106190230,BPD,,"(33.9672, -118.34406)"
2005,Los Angeles,Centinela Freeman Regional Medical Center – Memorial Campus,106190230,LAPBAND,7,"(33.9672, -118.34406)"
2005,Los Angeles,Centinela Freeman Regional Medical Center – Memorial Campus,106190230,LAPRYGB,117,"(33.9672, -118.34406)"
2005,Los Angeles,Centinela Freeman Regional Medical Center – Memorial Campus,106190230,OPENRYGB,2,"(33.9672, -118.34406)"
2005,Los Angeles,Centinela Freeman Regional Medical Center – Memorial Campus,106190230,VSG,,"(33.9672, -118.34406)"
2005,Los Angeles,Coast Plaza Hospital,106190766,BPD,,"(33.91264, -118.09906)"
2005,Los Angeles,Coast Plaza Hospital,106190766,LAPBAND,2,"(33.91264, -118.09906)"
2005,Los Angeles,Coast Plaza Hospital,106190766,LAPRYGB,45,"(33.91264, -118.09906)"
2005,Los Angeles,Coast Plaza Hospital,106190766,OPENRYGB,7,"(33.91264, -118.09906)"
2005,Los Angeles,Coast Plaza Hospital,106190766,VSG,,"(33.91264, -118.09906)"
2005,Los Angeles,Encino Hospital Medical Center,106190280,BPD,,"(34.15686, -118.48662)"
2005,Los Angeles,Encino Hospital Medical Center,106190280,LAPBAND,,"(34.15686, -118.48662)"
2005,Los Angeles,Encino Hospital Medical Center,106190280,LAPRYGB,10,"(34.15686, -118.48662)"
2005,Los Angeles,Encino Hospital Medical Center,106190280,OPENRYGB,2,"(34.15686, -118.48662)"
2005,Los Angeles,Encino Hospital Medical Center,106190280,VSG,,"(34.15686, -118.48662)"
2005,Los Angeles,Gardens Regional Hospital and Medical Center,106190159,BPD,,"(33.83352, -118.08169)"
2005,Los Angeles,Gardens Regional Hospital and Medical Center,106190159,LAPBAND,,"(33.83352, -118.08169)"
2005,Los Angeles,Gardens Regional Hospital and Medical Center,106190159,LAPRYGB,86,"(33.83352, -118.08169)"
2005,Los Angeles,Gardens Regional Hospital and Medical Center,106190159,OPENRYGB,16,"(33.83352, -118.08169)"
2005,Los Angeles,Gardens Regional Hospital and Medical Center,106190159,VSG,,"(33.83352, -118.08169)"
2005,Los Angeles,Glendale Adventist Medical Center,106190323,BPD,,"(34.14951, -118.23109)"
2005,Los Angeles,Glendale Adventist Medical Center,106190323,LAPBAND,,"(34.14951, -118.23109)"
2005,Los Angeles,Glendale Adventist Medical Center,106190323,LAPRYGB,3,"(34.14951, -118.23109)"
2005,Los Angeles,Glendale Adventist Medical Center,106190323,OPENRYGB,,"(34.14951, -118.23109)"
2005,Los Angeles,Glendale Adventist Medical Center,106190323,VSG,,"(34.14951, -118.23109)"
2005,Los Angeles,Hollywood Presbyterian Medical Center,106190382,BPD,,"(34.09557, -118.29163)"
2005,Los Angeles,Hollywood Presbyterian Medical Center,106190382,LAPBAND,3,"(34.09557, -118.29163)"
2005,Los Angeles,Hollywood Presbyterian Medical Center,106190382,LAPRYGB,22,"(34.09557, -118.29163)"
2005,Los Angeles,Hollywood Presbyterian Medical Center,106190382,OPENRYGB,,"(34.09557, -118.29163)"
2005,Los Angeles,Hollywood Presbyterian Medical Center,106190382,VSG,,"(34.09557, -118.29163)"
2005,Los Angeles,Huntington Memorial Hospital,106190400,BPD,,"(34.13565, -118.1518)"
2005,Los Angeles,Huntington Memorial Hospital,106190400,LAPBAND,,"(34.13565, -118.1518)"
2005,Los Angeles,Huntington Memorial Hospital,106190400,LAPRYGB,297,"(34.13565, -118.1518)"
